pub_date	category	title	venue	level	author	url_slug	paper_url	slides_url	code_url
2020-07-06	conferences	T-cache: Dependency-free Ternary Rule Cache for Policy-based Forwarding	IEEE International Conference on Computer Communications (INFOCOM)	<strong>(CCF-A)</strong>	<strong>Ying Wan</strong>, Haoyu Song, Yang Xu, Yilun Wang, Tian Pan, Chuwen Zhang, Bin Liu.	T-cache-INFOCOM	http://wany16.github.io/files/T-cache_INFOCOM.pdf	http://wany16.github.io/files/T-cache_INFOCOM_Ppt.pdf	https://academicpages.github.io/publications/
2021-12-01	journals	T-Cache: Efficient Policy-Based Forwarding Using Small TCAM	IEEE/ACM Transactions on Networking (TON)	<strong>(CCF-A)</strong>	<strong>Ying Wan</strong>, Haoyu Song, Yang Xu, Yilun Wang, Tian Pan, Chuwen Zhang, Yi Wang, Bin Liu.	T-cache-ToN	http://wany16.github.io/files/T-cache_ToN.pdf	http://wany16.github.io/files/T-cache_ToN_Ppt.pdf	NULL
2021-05-10	conferences	Adaptive Batch Update in TCAM: How Collective Optimization Beats Individual Ones	IEEE International Conference on Computer Communications (INFOCOM)	<strong>(CCF-A)</strong>	<strong>Ying Wan</strong>, Haoyu Song, Yang Xu, Chuwen Zhang, Yi Wang, Bin Liu.	ABUT	http://wany16.github.io/files/ABUT.pdf	http://wany16.github.io/files/ABUT-PPT.pdf	https://academicpages.github.io/publications/
2021-07-07	conferences	FastUp: Fast TCAM Update for SDN Switches in Datacenter Networks	International Conference on Distributed Computing Systems (ICDCS)	<strong>(CCF-B)</strong>	<strong>Ying Wan</strong>, Haoyu Song, Hao Che, Yang Xu, Yi Wang, Chuwen Zhang, Zhijun Wang, Tian Pan, Hao Li, Hong Jiang, Chengchen Hu, Bin Liu.	FastUp	http://wany16.github.io/files/FastUp.pdf	http://wany16.github.io/files/FastUp-PPT.pdf	https://academicpages.github.io/publications/
2022-01-01	journals	GreedyJump: A Fast TCAM Update Algorithms	IEEE Networking Letters (LNET)	NULL	<strong>Ying Wan</strong>, Haoyu Song, Bin Liu.	GreedyJump	http://wany16.github.io/files/GreedyJump.pdf	http://wany16.github.io/files/GreedyJump-PPT.pdf	https://academicpages.github.io/publications/
2020-07-08	conferences	FastUp: Compute a Better TCAM Update Scheme in Less Time for SDN Switches	International Conference on Distributed Computing Systems (ICDCS), Psoter	<strong>(CCF-B)</strong>	<strong>Ying Wan</strong>, Haoyu Song, Hao Che, Yang Xu, Yi Wang, Chuwen Zhang, Zhijun Wang, Tian Pan, Hao Li, Hong Jiang, Chengchen Hu, Bin Liu.	FastUp-Poster	http://wany16.github.io/files/FastUp-Poster.pdf	http://wany16.github.io/files/FastUp-PPT.pdf	NULL
2017-06-14	conferences	Ultra-Fast Bloom Filters using SIMD techniques	IEEE/ACM International Symposium on Quality of Service (IWQoS), short paper	<strong>(CCF-B)</strong>	Jianyuan Lu, <strong>Ying Wan</strong>, Yang Li, Chuwen Zhang, Huichen Dai, Yi Wang, Gong Zhang, Bin Liu.	SIMD-IWQoS	http://wany16.github.io/files/SIMD-IWQoS.pdf	http://wany16.github.io/files/SIMD-PPT.pdf	NULL
2018-06-01	journals	Ultra-fast Bloom filters using SIMD techniques	IEEE Transactions on Parallel and Distributed Systems (TPDS)	<strong>(CCF-A)</strong>	Jianyuan Lu, <strong>Ying Wan</strong>, Yang Li, Chuwen Zhang, Huichen Dai, Yi Wang, Gong Zhang, Bin Liu.	SIMD-IWQoS	http://wany16.github.io/files/SIMD-TPDS.pdf	http://wany16.github.io/files/SIMD-PPT.pdf	NULL
2018-06-04	conferences	OBMA: Minimizing bitmap data structure with fast and uninterrupted update processing	IEEE/ACM International Symposium on Quality of Service (IWQoS), short paper	<strong>(CCF-B)</strong>	Chuwen Zhang, Yong Feng, Haoyu Song, <strong>Ying Wan</strong>, Wenquan Xu, Yilun Wang, Huichen Dai, Yang Li, Bin Liu.	OBMA-IWQoS	http://wany16.github.io/files/OBMA-IWQoS.pdf	http://wany16.github.io/files/OBMA-PPT.pdf	NULL
2024-06-01	journals	OBMA: Scalable Route Lookups with Fast and Zero-interrupt Updates	IEEE/ACM Transactions on Networking (TON)	<strong>(CCF-A)</strong>	Chuwen Zhang, Yong Feng, Haoyu Song, <strong>Ying Wan</strong>, Wenquan Xu, Bin Liu.	OBMA-TON	http://wany16.github.io/files/OBMA-TON.pdf	http://wany16.github.io/files/OBMA-PPT.pdf	NULL
2022-04-04	conferences	Enabling In-situ Programmability in Network Data Plane: From Architecture to Language	USENIX Symposium on Networked Systems Design and Implementation (NSDI)	<strong>(CCF-A)</strong>	Yong Feng, Zhikang Chen, Haoyu Song, Wenquan Xu, Jiahao Li, Zijian Zhang, Tong Yun, <strong>Ying Wan</strong>, Bin Liu.	rP4	http://wany16.github.io/files/rP4.pdf	http://wany16.github.io/files/rP4-PPT.pdf	NULL
2021-11-05	conferences	MagicTCAM: A Multiple-TCAM Scheme for Fast TCAM Update	International Conference on Network Protocols (ICNP)	<strong>(CCF-B)</strong>	Ruyi Yao, Cong Luo, Xuandong Liu, <strong>Ying Wan</strong>, Bin Liu, Wenjun Li, Yang Xu.	MagicTCAM	http://wany16.github.io/files/MagicTCAM.pdf	NULL	NULL
2020-01-30	conferences	P3R: Realizing Robust Routing for VANET Using Trajectory Prediction and Crossroad Recognition	IEEE International Conference on Parallel and Distributed Systems (ICPADS)	(CCF-C)	Chuwen Zhang, Huichen Dai, Yong Feng, Yang Li, Wenquan Xu, Xuefeng Ji, <strong>Ying Wan</strong>, Gong Zhang, Bin Liu.	P3R	http://wany16.github.io/files/P3R.pdf	NULL	NULL
